schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
29Q156,"229-02 137 AVENUE, QUEENS, NY 11413",queens,11413,229-02,137 AVENUE,40.673069,-73.743173,1055492.0,184598.0,413.0
29Q176,"120-45 235 STREET, QUEENS, NY 11411",queens,11411,120-45,235 STREET,40.685492,-73.729982,1059137.0,189135.0,413.0
29Q181,"148-15 230 STREET, QUEENS, NY 11413",queens,11413,148-15,230 STREET,40.656126,-73.753207,1052726.0,178417.0,413.0
29Q195,"253-50 149 AVENUE, QUEENS, NY 11422",queens,11422,253-50,149 AVENUE,40.653006,-73.736395,1057394.0,177294.0,413.0
29Q208,"74-30 COMMONWEALTH BLVD, QUEENS, NY 11426",queens,11426,74-30,COMMONWEALTH BLVD,40.745948,-73.727456,1059769.0,211163.0,413.0
29Q251,"144-51 ARTHUR STREET, QUEENS, NY 11413",queens,11413,144-51,ARTHUR STREET,40.664218,-73.760249,1050764.0,181360.0,413.0
29Q268,"92-07 175 STREET, QUEENS, NY 11433",queens,11433,92-07,175 STREET,40.707537,-73.785626,1043685.0,197124.0,412.0
29Q270,"233-15 MERRICK BOULEVARD, QUEENS, NY 11422",queens,11422,233-15,MERRICK BOULEVARD,40.674831,-73.736713,1057282.0,185245.0,413.0
29Q295,"222-14 JAMAICA AVENUE, QUEENS, NY 11428",queens,11428,222-14,JAMAICA AVENUE,40.720619,-73.731997,1058539.0,201931.0,413.0
29Q360,"199-10 112 AVENUE, QUEENS, NY 11412",queens,11412,199-10,112 AVENUE,40.702514,-73.756595,1051739.0,195315.0,412.0
29QACD,"89-15 FRANCIS LEWIS BOULEVARD, QUEENS, NY 11427",queens,11427,89-15,FRANCIS LEWIS BOULEVARD,40.719225,-73.758052,1051318.0,201402.0,413.0
29QAEP,"115-50 221 STREET, QUEENS, NY 11411",queens,11411,115-50,221 STREET,40.698714,-73.737271,1057101.0,193946.0,413.0
29QAFF,"137-25 BROOKVILLE BOULEVARD, QUEENS, NY 11422",queens,11422,137-25,BROOKVILLE BOULEVARD,40.669148,-73.736429,1057367.0,183175.0,413.0
29QAHG,"114-28 FRANCIS LEWIS BOULEVARD, QUEENS, NY 11411",queens,11411,114-28,FRANCIS LEWIS BOULEVARD,40.700789,-73.748295,1054042.0,194693.0,412.0
29QAHI,"218-19 105 AVENUE, QUEENS, NY 11429",queens,11429,218-19,105 AVENUE,40.711989,-73.738791,1056665.0,198781.0,413.0
29QALP,"187-08 HILLSIDE AVENUE, QUEENS, NY 11432",queens,11432,187-08,HILLSIDE AVENUE,40.714763,-73.774997,1046625.0,199764.0,412.0
29QAMU,"175-15 ROCKAWAY BOULEVARD, QUEENS, NY 11434",queens,11434,175-15,ROCKAWAY BOULEVARD,40.657786,-73.77031,1047979.0,179009.0,413.0
29QANS,"220-24 JAMAICA AVENUE, QUEENS, NY 11428",queens,11428,220-24,JAMAICA AVENUE,40.719136,-73.733983,1057990.0,201389.0,413.0
29QAPS,"137-37 FARMERS BOULEVARD, QUEENS, NY 11434",queens,11434,137-37,FARMERS BOULEVARD,40.673147,-73.763952,1049728.0,184610.0,412.0
29QAPU,"113-15 SPRINGFIELD BOULEVARD, QUEENS, NY 11429",queens,11429,113-15,SPRINGFIELD BOULEVARD,40.703772,-73.740367,1056237.0,195786.0,413.0
29QASI,"187-10 HILLSIDE AVENUE, QUEENS, NY 11432",queens,11432,187-10,HILLSIDE AVENUE,40.714771,-73.774954,1046637.0,199767.0,412.0
29QAWX,"82-25 164 STREET, QUEENS, NY 11432",queens,11432,82-25,164 STREET,40.718546,-73.803761,1038648.0,201123.0,408.0
29QAXC,"175-44 MAYFIELD ROAD, QUEENS, NY 11432",queens,11432,175-44,MAYFIELD ROAD,40.716221,-73.789783,1042525.0,200285.0,408.0
29QAXE,"86-28 FRANCIS LEWIS BOULEVARD, QUEENS, NY 11427",queens,11427,86-28,FRANCIS LEWIS BOULEVARD,40.724783,-73.764952,1049400.0,203422.0,408.0
29QAXK,"164-04 GOETHALS AVENUE, QUEENS, NY 11432",queens,11432,164-04,GOETHALS AVENUE,40.719344,-73.803604,1038691.0,201414.0,408.0
29QAXN,"195-03 LINDEN BOULEVARD, QUEENS, NY 11412",queens,11412,195-03,LINDEN BOULEVARD,40.693424,-73.756869,1051672.0,192003.0,412.0
29QAXQ,"90-04 175TH STREET, QUEENS, NY 11432",queens,11432,90-04,175TH STREET,40.709765,-73.786654,1043398.0,197935.0,412.0
29QAXV,"92-10 217 STREET, QUEENS, NY 11428",queens,11428,92-10,217 STREET,40.722469,-73.741759,1055831.0,202597.0,413.0
29QAYB,"109-45 207 STREET, QUEENS, NY 11429",queens,11429,109-45,207 STREET,40.708351,-73.750633,1053386.0,197446.0,413.0
29QAYE,"118-46 RIVERTON STREET, QUEENS, NY 11412",queens,11412,118-46,RIVERTON STREET,40.689229,-73.763011,1049973.0,190470.0,412.0
29QBAB,"241-15 NORTH CONDUIT AVENUE, QUEENS, NY 11422",queens,11422,241-15,NORTH CONDUIT AVENUE,40.666584,-73.736028,1057481.0,182241.0,413.0
29QBAC,"233-10 LINDEN BOULEVARD, QUEENS, NY 11411",queens,11411,233-10,LINDEN BOULEVARD,40.691037,-73.728899,1059431.0,191156.0,413.0
29QBAQ,"226-02 MERRICK BOULEVARD, QUEENS, NY 11413",queens,11413,226-02,MERRICK BOULEVARD,40.677234,-73.743791,1055316.0,186115.0,413.0
