schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
01F305,"55 RUTGERS ST, MANHATTAN, NY 10002",manhattan,10002,55,RUTGERS ST,40.711725,-73.989806,0987076,0198577,103
01F437,"80 COLUMBIA ST, MANHATTAN, NY 10002",manhattan,10002,80,COLUMBIA ST,40.717561,-73.979968,0989803,0200704,103
01F632,"154 BROOME ST, MANHATTAN, NY 10002",manhattan,10002,154,BROOME ST,40.716508,-73.984885,0988440,0200320,103
01F652,"60 PITT ST, MANHATTAN, NY 10002",manhattan,10002,60,PITT ST,40.717872,-73.982702,0989045,0200817,103
01F785,"111-113 NORFOLK ST, MANHATTAN, NY 10002",manhattan,10002,111-113,NORFOLK ST,40.719036,-73.987038,0987843,0201241,103
01F863,"250 CLINTON ST, MANHATTAN, NY 10002",manhattan,10002,250,CLINTON ST,40.711579,-73.98674,0987926,0198524,103
01F917,"721 E 5TH ST, MANHATTAN, NY 10009",manhattan,10009,721,E 5TH ST,40.722713,-73.979281,0989993,0202581,103
01G062,"143 ESSEX ST, MANHATTAN, NY 10002",manhattan,10002,143,ESSEX ST,40.720379,-73.987273,0987778,0201730,103
01G090,"50 COLUMBIA ST, MANHATTAN, NY 10002",manhattan,10002,50,COLUMBIA ST,40.71648,-73.980553,0989641,0200310,103
01G243,"60 PITT ST, MANHATTAN, NY 10002",manhattan,10002,60,PITT ST,40.717872,-73.982702,0989045,0200817,103
01G280,"60 GOUVERNEUR ST, MANHATTAN, NY 10002",manhattan,10002,60,GOUVERNEUR ST,40.712715,-73.983797,0988742,0198938,103
01G341,"250 CLINTON ST, MANHATTAN, NY 10002",manhattan,10002,250,CLINTON ST,40.711579,-73.98674,0987926,0198524,103
01G363,"684 WATER ST, MANHATTAN, NY 10002",manhattan,10002,684,WATER ST,40.711537,-73.98067,0989609,0198509,103
01M015,"333 EAST 4 STREET, MANHATTAN, NY 10009",manhattan,10009,333,EAST 4 STREET,40.721791,-73.978986,0990075,0202245,103
01M020,"166 ESSEX STREET, MANHATTAN, NY 10002",manhattan,10002,166,ESSEX STREET,40.72154,-73.986648,0987951,0202153,103
01M034,"730 EAST 12 STREET, MANHATTAN, NY 10009",manhattan,10009,730,EAST 12 STREET,40.726473,-73.975181,0991129,0203951,103
01M063,"121 EAST 3 STREET, MANHATTAN, NY 10009",manhattan,10009,121,EAST 3 STREET,40.724117,-73.986381,0988025,0203092,103
01M064,"600 EAST 6 STREET, MANHATTAN, NY 10009",manhattan,10009,600,EAST 6 STREET,40.724435,-73.981521,0989372,0203208,103
