schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
22K109,"1001 East 45 Street, Brooklyn, NY 11203",brooklyn,11203,1001,East 45 Street,40.636455,-73.933582,1002684,0171161,317
22K119,"3829 Avenue K, Brooklyn, NY 11210",brooklyn,11210,3829,Avenue K,40.625662,-73.938265,1001387,0167228,318
22K134,"4001 18 Avenue, Brooklyn, NY 11218",brooklyn,11218,4001,18 Avenue,40.63228,-73.973898,0991495,0169634,314
22K139,"330 Rugby Road, Brooklyn, NY 11226",brooklyn,11226,330,Rugby Road,40.641937,-73.965523,0993818,0173153,314
22K152,"725 East 23 Street, Brooklyn, NY 11210",brooklyn,11210,725,East 23 Street,40.632562,-73.954724,0996817,0169739,314
22K193,"2515 Avenue L, Brooklyn, NY 11210",brooklyn,11210,2515,Avenue L,40.621507,-73.950473,0997999,0165712,314
22K194,"3117 Avenue W, Brooklyn, NY 11229",brooklyn,11229,3117,Avenue W,40.596757,-73.933499,1002718,0156698,315
22K195,"131 Irwin Street, Brooklyn, NY 11235",brooklyn,11235,131,Irwin Street,40.579451,-73.943819,0999856,0150391,315
22K197,"1599 East 22 Street, Brooklyn, NY 11210",brooklyn,11210,1599,East 22 Street,40.612623,-73.951906,0997603,0162475,314
22K198,"4105 Farragut Road, Brooklyn, NY 11210",brooklyn,11210,4105,Farragut Road,40.63694,-73.937339,1001641,0171337,317
22K203,"5101 Avenue M, Brooklyn, NY 11234",brooklyn,11234,5101,Avenue M,40.621436,-73.925989,1004796,0165691,318
22K206,"2200 Gravesend Neck Road, Brooklyn, NY 11229",brooklyn,11229,2200,Gravesend Neck Road,40.597369,-73.948946,0998428,0156918,315
22K207,"4011 Fillmore Avenue, Brooklyn, NY 11234",brooklyn,11234,4011,Fillmore Avenue,40.613353,-73.930129,1003649,0162745,318
22K217,"1100 Newkirk Avenue, Brooklyn, NY 11230",brooklyn,11230,1100,Newkirk Avenue,40.63398,-73.966558,0993532,0170254,314
22K222,"3301 Quentin Road, Brooklyn, NY 11234",brooklyn,11234,3301,Quentin Road,40.613317,-73.938871,1001222,0162730,318
22K236,"6302 Avenue U, Brooklyn, NY 11234",brooklyn,11234,6302,Avenue U,40.615998,-73.912989,1008407,0163713,318
22K245,"249 East 17Th Street, Brooklyn, NY 11226",brooklyn,11226,249,East 17Th Street,40.645016,-73.963208,0994460,0174275,314
22K251,"1037 East 54 Street, Brooklyn, NY 11234",brooklyn,11234,1037,East 54 Street,40.632524,-73.924417,1005229,0169731,318
22K254,"1801 Avenue Y, Brooklyn, NY 11235",brooklyn,11235,1801,Avenue Y,40.590423,-73.951753,0997650,0154387,315
22K255,"1866 East 17 Street, Brooklyn, NY 11229",brooklyn,11229,1866,East 17 Street,40.604349,-73.955528,0996599,0159460,315
22K277,"2529 Gerritsen Avenue, Brooklyn, NY 11229",brooklyn,11229,2529,Gerritsen Avenue,40.596145,-73.928793,1004025,0156476,318
22K312,"7103 Avenue T, Brooklyn, NY 11234",brooklyn,11234,7103,Avenue T,40.621413,-73.908987,1009516,0165687,318
22K315,"2310 Glenwood Road, Brooklyn, NY 11210",brooklyn,11210,2310,Glenwood Road,40.633232,-73.954655,0996836,0169983,314
22K326,"1800 Utica Avenue, Brooklyn, NY 11234",brooklyn,11234,1800,Utica Avenue,40.628659,-73.92793,1004255,0168322,318
22K361,"1957 Nostrand Avenue, Brooklyn, NY 11210",brooklyn,11210,1957,Nostrand Avenue,40.637711,-73.948159,0998638,0171616,317
22K889,"21 Hinckley Place, Brooklyn, NY 11218",brooklyn,11218,21,Hinckley Place,40.644469,-73.971032,0992289,0174075,312
22KADW,"3867 Shore Parkway, Brooklyn, NY 11235",brooklyn,11235,3867,Shore Parkway,40.586329,-73.93226,1003065,0152899,315
22KAFO,"1943 Brown Street, Brooklyn, NY 11229",brooklyn,11229,1943,Brown Street,40.60421,-73.940629,1000736,0159412,315
22KAKF,"2602 East 19Th Street, Brooklyn, NY 11235",brooklyn,11235,2602,East 19Th Street,40.588254,-73.950523,0997992,0153597,315
22KANR,"2810 NOSTRAND AVENUE, BROOKLYN, NY 11229",brooklyn,11229,2810,NOSTRAND AVENUE,40.615724,-73.944776,0999582,0163606,315
22KAPR,"6363 Avenue U, Brooklyn, NY 11234",brooklyn,11234,6363,Avenue U,40.616209,-73.912697,1008488,0163790,318
22KASI,"386 Marlborough Road, Brooklyn, NY 11226",brooklyn,11226,386,Marlborough Road,40.640589,-73.964321,0994152,0172662,314
22KASR,"3017 Glenwood Road, Brooklyn, NY 11210",brooklyn,11210,3017,Glenwood Road,40.634022,-73.947517,0998817,0170272,317
22KBDJ,"2739 Bedford Avenue, Brooklyn, NY 11210",brooklyn,11210,2739,Bedford Avenue,40.636256,-73.9535,0997156,0171085,314
22KBFD,"2017 Beverley Road, Brooklyn, NY 11226",brooklyn,11226,2017,Beverley Road,40.644891,-73.959742,0995422,0174230,314
22KBQQ,"2114 Brown Street, Brooklyn, NY 11229",brooklyn,11229,2114,Brown Street,40.600126,-73.93988,1000945,0157924,315
22KBQU,"1612 Quentin Road, Brooklyn, NY 11229",brooklyn,11229,1612,Quentin Road,40.608382,-73.957034,0996180,0160929,315
22KBQV,"2743 Ocean Avenue, Brooklyn, NY 11229",brooklyn,11229,2743,Ocean Avenue,40.594304,-73.950436,0998015,0155801,315
22KBRH,"1107 Newkirk Avenue, Brooklyn, NY 11230",brooklyn,11230,1107,Newkirk Avenue,40.634005,-73.966544,0993536,0170263,314
22KBRL,"3321 Avenue N, Brooklyn, NY 11234",brooklyn,11234,3321,Avenue N,40.617562,-73.941975,1000359,0164276,318
22KBSL,"2804 Glenwood Road, Brooklyn, NY 11210",brooklyn,11210,2804,Glenwood Road,40.634106,-73.950086,0998104,0170302,314
22KBUF,"2810 Nostrand Avenue, Brooklyn, NY 11229",brooklyn,11229,2810,Nostrand Avenue,40.615724,-73.944776,0999582,0163606,315
22KBUM,"2813 Farragut Road, Brooklyn, NY 11210",brooklyn,11210,2813,Farragut Road,40.636175,-73.949702,0998210,0171056,314
22KBXQ,"2901 Campus Road, Brooklyn, NY 11210",brooklyn,11210,2901,Campus Road,40.631986,-73.948682,0998494,0169530,314
22KBXT,"2597 Bedford Avenue, Brooklyn, NY 11226",brooklyn,11226,2597,Bedford Avenue,40.64,-73.954207,0996959,0172449,317
22KBZX,"1192 East 31St Street, Brooklyn, NY 11210",brooklyn,11210,1192,East 31St Street,40.622567,-73.945065,0999500,0166099,318
22KCEI,"2121 Bragg Street, Brooklyn, NY 11229",brooklyn,11229,2121,Bragg Street,40.600261,-73.936041,1002011,0157974,315
22KCGO,"1915 Oriental Boulevard, Brooklyn, NY 11235",brooklyn,11235,1915,Oriental Boulevard,40.578497,-73.935321,1002217,0150045,315
22KCHN,"2805 Newkirk Avenue, Brooklyn, NY 11226",brooklyn,11226,2805,Newkirk Avenue,40.639889,-73.95015,0998085,0172409,317
22KCJQ,"3003 Glenwood Road, Brooklyn, NY 11210",brooklyn,11210,3003,Glenwood Road,40.634017,-73.947614,0998790,0170270,317
22KCJR,"3053 Avenue U, Brooklyn, NY 11229",brooklyn,11229,3053,Avenue U,40.600983,-73.936919,1001767,0158237,315
22KCJS,"452 East 9Th Street, Brooklyn, NY 11218",brooklyn,11218,452,East 9Th Street,40.637648,-73.969586,0992691,0171590,312
22KCJT,"480 Stratford Road, Brooklyn, NY 11218",brooklyn,11218,480,Stratford Road,40.636662,-73.967364,0993308,0171231,314
22KCJZ,"1083 Coney Island Avenue, Brooklyn, NY 11230",brooklyn,11230,1083,Coney Island Avenue,40.631035,-73.966433,0993567,0169181,314
22KCKU,"1968 Ocean Avenue, Brooklyn, NY 11230",brooklyn,11230,1968,Ocean Avenue,40.614194,-73.954225,0996959,0163047,314
22KCKZ,"190 Exeter Street, Brooklyn, NY 11235",brooklyn,11235,190,Exeter Street,40.577935,-73.948349,0998598,0149838,315
22KCMZ,"1720 Avenue P, Brooklyn, NY 11229",brooklyn,11229,1720,Avenue P,40.610635,-73.95642,0996350,0161750,315
22KCNA,"2809 Newkirk Avenue, Brooklyn, NY 11226",brooklyn,11226,2809,Newkirk Avenue,40.639892,-73.950124,0998092,0172410,317
22KCNI,"6085 Strickland Avenue, Brooklyn, NY 11234",brooklyn,11234,6085,Strickland Avenue,40.611346,-73.912998,1008406,0162018,318
22KCOG,"1992 Nostrand Avenue, Brooklyn, NY 11210",brooklyn,11210,1992,Nostrand Avenue,40.637091,-73.948116,0998650,0171390,314
22KCPL,"2175 East 22 Street, Brooklyn, NY 11229",brooklyn,11229,2175,East 22 Street,40.598231,-73.94918,0998363,0157232,315
22KCPT,"1738 East 48 Street, Brooklyn, NY 11234",brooklyn,11234,1738,East 48 Street,40.618046,-73.928745,1004032,0164455,318
22KCQB,"1954 Ocean Avenue, Brooklyn, NY 11230",brooklyn,11230,1954,Ocean Avenue,40.614444,-73.954271,0996946,0163138,314
22KCRU,"2150 OCEAN AVENUE, BROOKLYN, NY 11229",brooklyn,11229,2150,OCEAN AVENUE,40.609451,-73.953324,0997210,0161319,315
22KCTN,"4205 Avenue P, Brooklyn, NY 11234",brooklyn,11234,4205,Avenue P,40.619166,-73.934179,1002523,0164862,318
22KCUL,"2484 EAST 18 STREET, BROOKLYN, NY 11235",brooklyn,11235,2484,EAST 18 STREET,40.59087,-73.951994,0997583,0154550,315
22Z012,"1139 Coney Island Avenue, Brooklyn, NY 11230",brooklyn,11230,1139,Coney Island Avenue,40.630101,-73.966207,0993630,0168841,314
22Z063,"1340 East 29Th Street, Brooklyn, NY 11210",brooklyn,11210,1340,East 29Th Street,40.61845,-73.94633,0999150,0164599,314
22Z064,"3610 Glenwood Road, Brooklyn, NY 11218",brooklyn,11218,3610,Glenwood Road,40.63436,-73.941795,1000405,0170396,317
23K041,"411 Thatford Avenue, Brooklyn, NY 11212",brooklyn,11212,411,Thatford Avenue,40.660306,-73.907355,1009954,0179857,316
23K137,"121 Saratoga Avenue, Brooklyn, NY 11233",brooklyn,11233,121,Saratoga Avenue,40.682458,-73.917088,1007246,0187925,316
23K150,"364 Sackman Street, Brooklyn, NY 11212",brooklyn,11212,364,Sackman Street,40.66896,-73.904726,1010680,0183011,316
23K155,"1355 Herkimer Street, Brooklyn, NY 11233",brooklyn,11233,1355,Herkimer Street,40.677415,-73.908734,1009565,0186090,316
23K156,"104 Sutter Avenue, Brooklyn, NY 11212",brooklyn,11212,104,Sutter Avenue,40.665965,-73.918107,1006969,0181916,316
23K165,"76 Lott Avenue, Brooklyn, NY 11212",brooklyn,11212,76,Lott Avenue,40.65744,-73.911053,1008929,0178812,316
23K178,"2163 Dean Street, Brooklyn, NY 11233",brooklyn,11233,2163,Dean Street,40.675024,-73.915778,1007612,0185217,316
23K184,"273 Newport Street, Brooklyn, NY 11212",brooklyn,11212,273,Newport Street,40.659966,-73.904901,1010635,0179734,316
23K284,"213 Osborn Street, Brooklyn, NY 11212",brooklyn,11212,213,Osborn Street,40.667377,-73.908214,1009713,0182433,316
23K298,"85 Watkins Street, Brooklyn, NY 11212",brooklyn,11212,85,Watkins Street,40.670986,-73.908194,1009717,0183748,316
23K323,"210 Chester Street, Brooklyn, NY 11212",brooklyn,11212,210,Chester Street,40.666545,-73.910904,1008967,0182129,316
23K327,"111 Bristol Street, Brooklyn, NY 11212",brooklyn,11212,111,Bristol Street,40.668475,-73.912351,1008565,0182832,316
23K401,"51 Christopher Avenue, Brooklyn, NY 11212",brooklyn,11212,51,Christopher Avenue,40.672462,-73.906552,1010172,0184286,316
23K446,"76 Riverdale Avenue, Brooklyn, NY 11212",brooklyn,11212,76,Riverdale Avenue,40.660204,-73.913933,1008129,0179818,316
